station_id,name,short_name,lat,lon,region_id,rental_methods,capacity,external_id,eightd_has_key_dispenser,has_kiosk,station_geom
518,22nd St at Potrero Ave,SF-P26,37.756808,-122.40594300000001,3,,15,,,true,POINT(-122.405943 37.756808)
125,20th St at Bryant St,SF-O25-2,37.759161999999996,-122.4100475,3,,15,,,true,POINT(-122.4100475 37.759162)
119,18th St at Noe St,SF-O19,37.7610471,-122.4326417,3,,15,,,true,POINT(-122.4326417 37.7610471)
146,30th St at San Jose Ave,SF-T21,37.7423139,-122.4231805,3,,15,,,true,POINT(-122.4231805 37.7423139)
144,Precita Park,SF-S24,37.7472996,-122.4114029,3,,15,,,true,POINT(-122.4114029 37.7472996)
390,Indiana St at Cesar Chavez St,SF-S29,37.75043436,-122.39044726,3,,15,,,true,POINT(-122.390447259 37.750434357)
359,Williams Ave at Apollo St,SF-Y27,37.730078999999996,-122.3988045,3,,15,,,true,POINT(-122.3988045 37.730079)
437,Evans Ave at Mendell St,SF-V31,37.740048,-122.3834355,3,,15,,,true,POINT(-122.3834355 37.740048)
79,7th St at Brannan St,SF-K27,37.7734919,-122.4036725,3,,18,,,true,POINT(-122.4036725 37.7734919)
532,38th Ave at Balboa St,SF-J3,37.775521999999995,-122.498498,3,,18,,,true,POINT(-122.498498 37.775522)
525,21st Ave at Geary Blvd,SF-G8,37.780111,-122.480389,3,,18,,,true,POINT(-122.480389 37.780111)
465,San Francisco Caltrain Station (King St at 4th St),SF-J29-3,37.7763115,-122.394495,3,,18,,,true,POINT(-122.394495 37.7763115)
25,Howard St at 2nd St,SF-G28-1,37.78646613,-122.39871608,3,,18,,,true,POINT(-122.39871608 37.786466134)
63,Bryant St at 6th St,SF-J27,37.7758375,-122.402694,3,,19,,,true,POINT(-122.402694 37.7758375)
77,11th St at Natoma St,SF-K24,37.7735069,-122.4160402,3,,19,,,true,POINT(-122.4160402 37.7735069)
453,Brannan St at 4th St,SF-J28-2,37.77793367,-122.39697307,3,,19,,,true,POINT(-122.396973073 37.77793367)
493,Folsom St at 7th St,SF-J26-2,37.77666378,-122.40790844,3,,19,,,true,POINT(-122.40790844 37.776663783)
456,Arguello Blvd at Geary Blvd,SF-G13,37.78146762,-122.45880604,3,,19,,,true,POINT(-122.458806038 37.781467615)
114,Rhode Island St at 17th St,SF-N27,37.7644783,-122.4025701,3,,19,,,true,POINT(-122.4025701 37.7644783)
376,Illinois St at 20th St,SF-O30-2,37.7603435,-122.387449,3,,19,,,true,POINT(-122.387449 37.7603435)
480,Steiner St at California St,SF-F19,37.78856891,-122.43540108,3,,19,,,true,POINT(-122.435401082 37.788568914)
492,Webster St at Clay St,SF-E20,37.79080303,-122.43259013,3,,19,,,true,POINT(-122.432590127 37.790803032)
512,Divisadero St at Clay St,SF-E18,37.7895875,-122.440683,3,,19,,,true,POINT(-122.440683 37.7895875)
524,34th Ave at Balboa St,SF-J5,37.775681,-122.494064,3,,19,,,true,POINT(-122.494064 37.775681)
520,23rd Ave at Clement St,SF-G7,37.7819295,-122.4827855,3,,19,,,true,POINT(-122.4827855 37.7819295)
531,28th Ave at Geary Blvd,SF-G6,37.779672999999995,-122.48797,3,,19,,,true,POINT(-122.48797 37.779673)
413,Balboa Park BART Station,SF-AA15,37.72055499,-122.44772315,3,,19,,,true,POINT(-122.44772315 37.720554989)
497,Alemany Blvd at Silver Ave,SF-X19,37.73017447,-122.4328959,3,,19,,,true,POINT(-122.432895899 37.730174469)
371,Lombard St at Columbus Ave,SF-B25,37.80274615,-122.41357863,3,,19,,,true,POINT(-122.413578629 37.802746153)
132,24th St at Chattanooga St,SF-Q21-2,37.7518194,-122.4266139,3,,19,,,true,POINT(-122.4266139 37.7518194)
137,Jersey St at Castro St,SF-R19,37.750506,-122.4339496,3,,19,,,true,POINT(-122.4339496 37.750506)
138,Jersey St at Church St,SF-R20,37.7509004,-122.4274114,3,,19,,,true,POINT(-122.4274114 37.7509004)
455,McAllister St at Arguello Blvd,SF-J13,37.775328,-122.45810399999999,3,,19,,,true,POINT(-122.458104 37.775328)
486,Arguello Blvd at Edward St,SF-H13,37.77848699,-122.45864511,3,,19,,,true,POINT(-122.458645105 37.778486986)
528,Stanyan St at Geary Blvd,SF-H14,37.780949,-122.45630299999999,3,,19,,,true,POINT(-122.456303 37.780949)
30,San Francisco Caltrain (Townsend St at 4th St),SF-J29,37.776598,-122.395282,3,,19,,,true,POINT(-122.395282 37.776598)
